Frame,Time (s),Black Percentage
0,0.0,0.042499999999999996
25,1.0,0.025300000000000003
50,2.0,0.0723
75,3.0,0.0667
100,4.0,0.0249
125,5.0,0.0111
150,6.0,0.0744
175,7.0,0.0901
200,8.0,0.0582
225,9.0,0.0354
250,10.0,0.0952
275,11.0,0.0455
