Complexity,Loss,Equation
1,0.01210665,"0.22091104"
5,0.01167032,"(Ncycles + 0.22007751) - Ncycles"
7,0.01135315,"(-0.6601371 - Ncycles) + (Ncycles - -0.8793881)"
9,0.011216931,"((Ncycles + 2.1341636) - 0.47177553) + (-1.4413775 - Ncycles)"
11,0.010972359,"(-1.4412166 - (Ncycles + 0.25658685)) + ((Ncycles + -0.6592755) - -2.5708566)"
15,0.010790347,"((3.8564982 - ((Phz + (0.47217125 - Ncycles)) + -0.71160215)) + Phz) + (-3.88218 - Ncycles)"
17,0.010369906,"(((((Ncycles - ((Phz + -0.5177336) - Ncycles)) - -4.488945) + Phz) + -4.788627) - Ncycles) - Ncycles"
